"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"shadowtext","shadowtext","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.4",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"shape","shape","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.6.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.6.0), cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"datasets, DT, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr
(>= 1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"showtext","showtext","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9-7",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.4.0"
"showtextdb","showtextdb","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.4.0"
"simputation","simputation","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.8",NA,"R (>= 4.0.0)","stats, utils, MASS, rpart, gower, VIM, randomForest, glmnet,
missForest, norm",NA,"tinytest, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"sjlabelled","sjlabelled","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,"R (>= 3.4)","insight, datawizard, stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"sjmisc","sjmisc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8.10",NA,"R (>= 3.4)","dplyr, insight, datawizard, magrittr, methods, purrr, rlang,
sjlabelled (>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, nnet, sjPlot,
sjstats, knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"sjPlot","sjPlot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8.16",NA,"R (>= 3.6)","graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, ggeffects, ggplot2 (>= 3.2.0), knitr, insight, MASS,
parameters, performance, purrr, rlang, scales, sjlabelled (>=
1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8), tidyr (>=
1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, effects, haven,
GPArotation, ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4,
nFactors, pscl, psych, rmarkdown, rstanarm, sandwich, splines,
survey, TMB, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"sjstats","sjstats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.19.0",NA,"R (>= 3.4), utils","datawizard, effectsize (>= 0.8.8), insight, parameters,
performance, stats",NA,"brms, car, coin, ggplot2, lme4, MASS, pscl, pwr, survey,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"skimr","skimr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.5",NA,"R (>= 3.1.2)","cli, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>= 1.5),
pillar (>= 1.6.4), purrr, repr, rlang (>= 0.3.1), stats,
stringr (>= 1.1), tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect
(>= 1.0.0), vctrs",NA,"covr, crayon, data.table, dtplyr, extrafont, haven,
lubridate, rmarkdown, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"Sleuth2","Sleuth2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0-7",NA,"R (>= 4.1.0)",NA,NA,"lattice, knitr, MASS, agricolae, car, gmodels, leaps, mosaic",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"Sleuth3","Sleuth3","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-6",NA,"R (>= 4.1.0)",NA,NA,"CCA, Hmisc, MASS, agricolae, car, gmodels, knitr, lattice,
leaps, mosaic, multcomp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.11.1",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"SnowballC","SnowballC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.7.1",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1-4",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, rmarkdown, sf, terra,
raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.84-2",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"StanHeaders","StanHeaders","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.32.10",NA,"R (>= 3.4.0)","RcppParallel (>= 5.1.4)","RcppEigen (>= 0.3.4.0.0), RcppParallel (>= 5.1.4)","Rcpp, BH (>= 1.75.0-0), knitr (>= 1.36), rmarkdown, Matrix,
methods, rstan, withr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"stargazer","stargazer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.2.3",NA,NA,"stats, utils",NA,NA,"AER, betareg, brglm, censReg, dynlm, eha, erer, ergm, fGarch,
gee, glmx, gmm, lfe, lme4, lmtest, MASS, mclogit, mgcv, mlogit,
nlme, nnet, ordinal, plm, pscl, quantreg, rms, relevent,
robustbase, sampleSelection, spdep, survey, survival","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4","Kendall, coin, multcomp, pcaPP, pspearman, robustbase","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.4",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.4.0"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"R (>= 3.6)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"styler","styler","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.10.3",NA,"R (>= 3.6.0)","cli (>= 3.1.1), magrittr (>= 2.0.0), purrr (>= 0.2.3), R.cache
(>= 0.15.0), rlang (>= 1.0.0), rprojroot (>= 1.1), tools, vctrs
(>= 0.4.1), withr (>= 2.3.0),",NA,"data.tree (>= 0.1.6), digest, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), tibble (>= 1.4.2),
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"summarytools","summarytools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,"R (>= 2.10)","base64enc, checkmate, dplyr, grDevices, htmltools, lubridate,
magick, matrixStats, methods, pander, pryr, rapportools, stats,
tcltk, tibble, tidyr, utils",NA,"forcats, formatR, kableExtra, knitr, magrittr, rmarkdown,
rstudioapi",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"survey","survey","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4-2",NA,"R (>= 4.1.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4), Rcpp (>= 0.12.8)","Rcpp, RcppArmadillo","foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER, SUMMER (>= 1.4.0), R.rsp",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.6-4","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.3",NA,"R (>= 3.5.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat (>= 3.0.0), xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"swirl","swirl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4.5",NA,"R (>= 3.1.0)","stringr, testthat (>= 1.0.2), httr (>= 1.1.0), yaml, RCurl,
digest, tools, methods",NA,"stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"sys","sys","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.4.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"sysfonts","sysfonts","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.9",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"systemfonts","systemfonts","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.0",NA,"R (>= 3.2.0)","lifecycle","cpp11 (>= 0.2.1)","covr, knitr, rmarkdown, testthat (>= 2.1.0), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"targets","targets","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7.1",NA,"R (>= 3.5.0)","base64url (>= 1.4), callr (>= 3.7.0), cli (>= 2.0.2),
codetools (>= 0.2.16), data.table (>= 1.12.8), igraph (>=
2.0.0), knitr (>= 1.34), ps, R6 (>= 2.4.1), rlang (>= 1.0.0),
secretbase (>= 0.5.0), stats, tibble (>= 3.0.1), tidyselect (>=
1.1.0), tools, utils, vctrs (>= 0.2.4), yaml (>= 2.2.1)",NA,"bslib, clustermq (>= 0.9.2), crew (>= 0.9.0), curl (>= 4.3),
DT (>= 0.14), dplyr (>= 1.0.0), fst (>= 0.9.2), future (>=
1.19.1), future.batchtools (>= 0.9.0), future.callr (>= 0.6.0),
gargle (>= 1.2.0), googleCloudStorageR (>= 0.7.0), gt (>=
0.2.2), keras (>= 2.2.5.0), markdown (>= 1.1), nanonext (>=
0.12.0), rmarkdown (>= 2.4), parallelly (>= 1.35.0),
paws.common (>= 0.6.4), paws.storage (>= 0.4.0), pingr (>=
2.0.1), pkgload (>= 1.1.0), processx (>= 3.4.3), qs (>=
0.24.1), reprex (>= 2.0.0), rstudioapi (>= 0.11), R.utils (>=
2.6.0), shiny (>= 1.5.0), shinybusy (>= 0.2.2), shinyWidgets
(>= 0.5.4), testthat (>= 3.0.0), torch (>= 0.1.0), usethis (>=
1.6.3), visNetwork (>= 2.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"utils",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"tensorA","tensorA","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.36.2.1",NA,"R (>= 2.2.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"terra","terra","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-78",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet (>= 2.2.1), htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"testit","testit","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.13",NA,NA,NA,NA,"rstudioapi, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.2.1.1",NA,"R (>= 3.6.0)","brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), evaluate (>= 0.21), jsonlite (>=
1.8.7), lifecycle (>= 1.0.3), magrittr (>= 2.0.3), methods,
pkgload (>= 1.3.2.1), praise (>= 1.0.0), processx (>= 3.8.2),
ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>= 1.1.1), utils, waldo
(>= 0.5.1), withr (>= 2.5.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"textshaping","textshaping","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.0",NA,"R (>= 3.2.0)","lifecycle, systemfonts (>= 1.1.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tibbletime","tibbletime","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.8",NA,"R (>= 3.4.0)","assertthat (>= 0.2.1), dplyr (>= 1.0.10), glue (>= 1.6.2), hms
(>= 1.1.2), lubridate (>= 1.9.1), pillar (>= 1.8.1), purrr (>=
0.3.5), Rcpp (>= 1.0.9), rlang (>= 1.0.6), tibble (>= 3.1.8),
vctrs (>= 0.5.0), zoo (>= 1.8-11), lifecycle (>= 1.0.3)","Rcpp (>= 1.0.10)","broom, covr, gapminder, knitr, rmarkdown, testthat, tidyr (>=
1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tidycensus","tidycensus","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.5",NA,"R (>= 3.3.0)","httr, sf, dplyr (>= 1.0.0), tigris, stringr, jsonlite (>=
1.5.0), purrr, rvest, tidyr (>= 1.0.0), rappdirs, readr, xml2,
units, utils, rlang, crayon, tidyselect",NA,"ggplot2, survey, srvyr, terra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,"R (>= 3.6)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.1",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.5.2), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tidytext","tidytext","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.2",NA,"R (>= 2.10)","cli, dplyr (>= 1.1.1), generics, janeaustenr, lifecycle,
Matrix, methods, purrr (>= 0.1.1), rlang (>= 0.4.10), stringr,
tibble, tokenizers, vctrs",NA,"broom, covr, data.table, ggplot2, hunspell, knitr, mallet,
NLP, quanteda, readr, reshape2, rmarkdown, scales, stm,
stopwords, testthat (>= 2.1.0), textdata, tidyr, tm,
topicmodels, vdiffr, wordcloud",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tigris","tigris","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1",NA,"R (>= 3.3.0)","stringr, magrittr, utils, rappdirs, httr, uuid, sf, dplyr,
methods",NA,"testthat, ggplot2, ggthemes, leaflet, knitr, tidycensus, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tikzDevice","tikzDevice","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.12.6",NA,"R (>= 2.14.0)","filehash (>= 2.3), png",NA,"evaluate, formatR, ggplot2, knitr, lattice, maps, scales,
stringr, testthat (>= 0.8.1), withr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"timechange","timechange","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4032.109",NA,"R (>= 3.6.0), methods","graphics, utils, stats",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.52",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tokenizers","tokenizers","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,"R (>= 3.1.3)","stringi (>= 1.0.1), Rcpp (>= 0.12.3), SnowballC (>= 0.5.1)","Rcpp","covr, knitr, rmarkdown, stopwords (>= 0.9.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr, V8",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"tree","tree","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-43",NA,"R (>= 3.6.0), grDevices, graphics, stats",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.10-57",NA,"R (>= 3.4.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9),
jsonlite",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"tsibble","tsibble","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.5",NA,"R (>= 3.2.0)","anytime (>= 0.3.1), dplyr (>= 1.1.0), ellipsis (>= 0.3.0),
generics, lifecycle, lubridate (>= 1.7.0), methods, rlang (>=
0.4.6), tibble (>= 3.0.0), tidyselect (>= 1.0.0), vctrs (>=
0.3.1)",NA,"covr, ggplot2 (>= 3.3.0), hms, knitr, nanotime, nycflights13
(>= 1.0.0), rmarkdown, scales (>= 1.1.0), spelling, testthat
(>= 3.0.0), tidyr (>= 1.1.0), timeDate",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.24.4",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ucminf","ucminf","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.2",NA,"R (>= 3.5.0)",NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"units","units","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8-5",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"UpSetR","UpSetR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-4",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"urlchecker","urlchecker","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"useful","useful","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.6.1",NA,"ggplot2","plyr, dplyr (>= 0.5.0), magrittr, purrr (>= 0.1.0), stats,
scales, utils, Matrix, assertthat",NA,"testthat, tibble, covr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0.0",NA,"R (>= 3.6)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload (>= 1.3.2.1), rmarkdown,
roxygen2 (>= 7.1.2), spelling (>= 1.2), styler (>= 1.2.0),
testthat (>= 3.1.8)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
